Wall time,Step,Value
1556391266.0571198,2808564,16.729999542236328
1556391317.0276103,2811996,16.899999618530273
1556391386.5890105,2816687,16.760000228881836
1556391406.5200148,2818032,17.295000076293945
1556391471.5002832,2822409,15.75
1556391635.7433755,2833370,16.135000228881836
1556391810.6278105,2845082,17.264999389648438
1556391952.2583585,2854603,16.924999237060547
1556392443.5318236,2887667,17.774999618530273
1556392685.3052378,2903902,18.440000534057617
1556392703.1465633,2905098,18.489999771118164
1556392790.227688,2910913,18.325000762939453
1556393000.874669,2924892,17.924999237060547
1556393130.9625356,2933677,16.6299991607666
1556393309.9997625,2945713,17.389999389648438
1556393550.8467853,2961877,18.28499984741211
1556393650.0434425,2968554,18.670000076293945
1556393915.7736259,2986444,16.90999984741211
1556393926.2884903,2987151,16.510000228881836
1556394234.2809467,3007792,16.905000686645508
1556394365.2807806,3016640,17.5049991607666
1556394507.8608608,3026223,17.084999084472656
1556394681.8879075,3037936,18.565000534057617
1556394781.0588617,3044596,17.655000686645508
1556394849.1547441,3049165,17.770000457763672
1556395165.5145285,3070496,17.375
1556395249.1382203,3076113,17.510000228881836
1556395350.1758597,3082888,18.665000915527344
1556395706.244645,3106843,17.479999542236328
1556396322.4054706,3148217,17.53499984741211
1556396591.0900745,3166266,17.454999923706055
1556396619.5499053,3168175,17.600000381469727
1556396653.3735173,3170452,17.135000228881836
1556396732.3700116,3175772,17.225000381469727
1556396785.2267897,3179325,18.049999237060547
1556396810.2266173,3181011,17.549999237060547
1556397066.8930209,3198285,18.024999618530273
1556397273.5312185,3212208,17.145000457763672
1556397473.9214854,3225697,17.7549991607666
1556397636.9105482,3236665,17.565000534057617
1556397747.0682948,3244078,17.895000457763672
1556397758.8447618,3244868,17.829999923706055
1556398089.4228601,3267118,17.594999313354492
1556398117.365726,3269001,17.895000457763672
1556398248.068327,3277823,17.655000686645508
1556398286.8991556,3280450,17.440000534057617
1556398301.4841778,3281435,17.219999313354492
1556398324.769814,3283012,17.1299991607666
1556398738.3554199,3310920,17.690000534057617
1556398740.5764406,3311068,17.65999984741211
1556398776.332417,3313459,17.854999542236328
1556398788.832397,3314298,18.010000228881836
1556398860.8848777,3319166,16.8700008392334
1556399134.4027379,3337659,15.9399995803833
1556399216.7380838,3343233,16.950000762939453
1556399377.4046028,3354045,17.165000915527344
1556399848.254718,3385782,17.59000015258789
